Serial_No,Constituency_ No.,Constituency_Name,Total_Electors,Candidate_Name,Gender,Age,Category,Party,Symbol,General_Votes,Postal_Votes,Total_Votes,Percent_Valid_Votes,Percent_Total_Electors
11,44, ANAIKATTU ,240640,R.ramesh,MALE,43,GENERAL,IND,Water tank,150,2,152,0.07,0.06
12,44, ANAIKATTU ,240640,M.nandha Kumar,MALE,38,SC,IND,Electric pole,91,4,95,0.04,0.04
13,44, ANAIKATTU ,240640,S.selvamoorthy,MALE,64,GENERAL,IND,Bat,87,3,90,0.04,0.04
14,44, ANAIKATTU ,240640,E.suresh,MALE,40,GENERAL,IND,Balloon,75,2,77,0.04,0.03
1,45, KILVAITHINANKUPPAM (SC) ,217021,Thenral Kumar. E,MALE,34,SC,TVK,Whistle,73649,656,74305,39.13,34.24
2,45, KILVAITHINANKUPPAM (SC) ,217021,Jegan Moorthy. M,MALE,59,SC,ADMK,Two leaves,53465,585,54050,28.46,24.91
3,45, KILVAITHINANKUPPAM (SC) ,217021,Dr. Rajeswari. R,FEMALE,50,SC,DMK,Rising sun,53216,682,53898,28.38,24.84
4,45, KILVAITHINANKUPPAM (SC) ,217021,Kalaiyenthiri. R,FEMALE,35,SC,NTK,Carrying,5088,95,5183,2.73,2.39
7,45, KILVAITHINANKUPPAM (SC) ,217021,Jayashankar. J,MALE,37,SC,IND,Brush,227,0,227,0.12,0.1
8,45, KILVAITHINANKUPPAM (SC) ,217021,Raja. M,MALE,51,SC,tavk,Camera,200,2,202,0.11,0.09
9,45, KILVAITHINANKUPPAM (SC) ,217021,Jaya Bharath. J,MALE,28,SC,IND,Frying pan,156,1,157,0.08,0.07
10,45, KILVAITHINANKUPPAM (SC) ,217021,Sathish. A,MALE,37,SC,IND,Almirah,156,1,157,0.08,0.07
11,45, KILVAITHINANKUPPAM (SC) ,217021,Murugan. K.p,MALE,36,SC,IND,Batsman,143,3,146,0.08,0.07
12,45, KILVAITHINANKUPPAM (SC) ,217021,Kumaresan. L,MALE,51,SC,IND,Bucket,107,6,113,0.06,0.05
1,46, GUDIYATTAM (SC) ,252064,K.sindu,FEMALE,37,SC,TVK,Whistle,82474,384,82858,36.17,32.87
2,46, GUDIYATTAM (SC) ,252064,K.b.pradap,MALE,46,SC,DMDK,Nagara,72351,410,72761,31.76,28.87
3,46, GUDIYATTAM (SC) ,252064,Paritha Purushothaman.g,FEMALE,42,SC,ADMK,Two leaves,63635,487,64122,27.99,25.44
4,46, GUDIYATTAM (SC) ,252064,J.emalan,MALE,73,SC,NTK,Carrying,5735,67,5802,2.53,2.3
6,46, GUDIYATTAM (SC) ,252064,T.poovarasan,MALE,34,SC,BSP,Elephant,692,5,697,0.3,0.28
7,46, GUDIYATTAM (SC) ,252064,Subakaran.a,MALE,49,SC,IND,Diamond,515,4,519,0.23,0.21
8,46, GUDIYATTAM (SC) ,252064,Bharath Mathiruban,MALE,39,SC,IND,Matchbox,400,0,400,0.17,0.16
9,46, GUDIYATTAM (SC) ,252064,K.asha,FEMALE,40,SC,PT,Gas cylinder,383,0,383,0.17,0.15
11,46, GUDIYATTAM (SC) ,252064,A.rajesh,MALE,47,SC,IND,Bat,226,1,227,0.1,0.09
12,46, GUDIYATTAM (SC) ,252064,M.sumathi,FEMALE,46,SC,IND,Electric pole,151,6,157,0.07,0.06
1,47, VANIYAMBADI ,243320,Syed Farooq Basha Ssb,MALE,64,GENERAL,IUML,Ladder,72764,417,73181,34.43,30.08
2,47, VANIYAMBADI ,243320,Syed Bhurhanudeen,MALE,36,GENERAL,TVK,Whistle,69845,354,70199,33.03,28.85
3,47, VANIYAMBADI ,243320,Sendhil Kumar.g,MALE,42,GENERAL,ADMK,Two leaves,60472,583,61055,28.73,25.09
4,47, VANIYAMBADI ,243320,Murugesan.g,MALE,33,GENERAL,NTK,Carrying,4784,65,4849,2.28,1.99
6,47, VANIYAMBADI ,243320,Subramani.p,MALE,63,SC,BSP,Elephant,599,10,609,0.29,0.25
8,47, VANIYAMBADI ,243320,Anbarasu.p,MALE,34,GENERAL,AJPK,Gas cylinder,229,2,231,0.11,0.09
9,47, VANIYAMBADI ,243320,Rajesh.t,MALE,41,GENERAL,IND,Ship,211,2,213,0.1,0.09
10,47, VANIYAMBADI ,243320,Devendran.j,MALE,53,GENERAL,tavk,Camera,192,3,195,0.09,0.08
11,47, VANIYAMBADI ,243320,Manoj.s,MALE,35,GENERAL,IND,Laptop,166,0,166,0.08,0.07
13,47, VANIYAMBADI ,243320,Srinivasan.a,MALE,50,GENERAL,IND,Mike,158,0,158,0.07,0.06
14,47, VANIYAMBADI ,243320,Manjunath.k,MALE,35,GENERAL,IND,Stumps,139,1,140,0.07,0.06
16,47, VANIYAMBADI ,243320,Selvaraj.m,MALE,42,GENERAL,IND,Gift pack,99,3,102,0.05,0.04
1,48, AMBUR ,214898,Vilwanathan. A.c.,MALE,66,GENERAL,DMK,Rising sun,73543,559,74102,37.89,34.48
3,48, AMBUR ,214898,Venkatesan. R,MALE,61,GENERAL,ADMK,Two leaves,46768,332,47100,24.08,21.92
4,48, AMBUR ,214898,Afshia Nasrin. S,FEMALE,42,GENERAL,NTK,Carrying,4143,42,4185,2.14,1.95
7,48, AMBUR ,214898,Asadullah. B,MALE,46,GENERAL,INL,Camera,457,0,457,0.23,0.21
8,48, AMBUR ,214898,Wazeer Ahmed. J,MALE,55,GENERAL,BSP,Elephant,381,3,384,0.2,0.18
9,48, AMBUR ,214898,Srinath,MALE,34,SC,IND,Laptop,231,0,231,0.12,0.11
11,48, AMBUR ,214898,Kumaravel. P,MALE,50,GENERAL,IND,Diamond,193,0,193,0.1,0.09
13,48, AMBUR ,214898,Kareem Basha. A,MALE,53,GENERAL,AIMEIEM,Ship,168,0,168,0.09,0.08
15,48, AMBUR ,214898,Firdose Ahmed. M,MALE,33,GENERAL,IND,Gas cylinder,124,6,130,0.07,0.06
17,48, AMBUR ,214898,Govindhan. A,MALE,67,GENERAL,AIYDPMP,Ring,85,0,85,0.04,0.04
1,49, JOLARPET ,237465,Veeramani K.c.,MALE,61,GENERAL,ADMK,Two leaves,77814,819,78633,36.91,33.11
2,49, JOLARPET ,237465,Munisamy C,MALE,40,GENERAL,TVK,Whistle,61958,592,62550,29.36,26.34
3,49, JOLARPET ,237465,Kavithadhandapani,FEMALE,42,GENERAL,DMK,Rising sun,61376,601,61977,29.09,26.1
4,49, JOLARPET ,237465,Sasirekha K,FEMALE,37,GENERAL,NTK,Carrying,5823,151,5974,2.8,2.52
6,49, JOLARPET ,237465,Priya K,FEMALE,29,GENERAL,IND,Ship,452,2,454,0.21,0.19
10,49, JOLARPET ,237465,Sivakumar V C,MALE,51,SC,BSP,Elephant,312,4,316,0.15,0.13
12,49, JOLARPET ,237465,Chenna Kesavan C,MALE,46,GENERAL,IND,Diamond,214,2,216,0.1,0.09
13,49, JOLARPET ,237465,Kavitha C,FEMALE,42,GENERAL,IND,Computer,155,0,155,0.07,0.07
14,49, JOLARPET ,237465,Krishnamoorthy D,MALE,44,ST,MNK,Ring,145,4,149,0.07,0.06
15,49, JOLARPET ,237465,Kamatchi S,FEMALE,45,GENERAL,IND,Jackfruit,123,5,128,0.06,0.05
16,49, JOLARPET ,237465,Sankar T.k,MALE,52,GENERAL,tavk,Camera,98,6,104,0.05,0.04
17,49, JOLARPET ,237465,Chenrayan A,MALE,66,SC,IND,Mike,98,1,99,0.05,0.04
19,49, JOLARPET ,237465,Kavitha T,FEMALE,31,GENERAL,IND,Bat,74,2,76,0.04,0.03
20,49, JOLARPET ,237465,Mohanraj R,MALE,26,SC,IND,Bricks,68,1,69,0.03,0.03
1,50, TIRUPPATTUR ,227352,Dr.thirupathi. N,MALE,63,GENERAL,TVK,Whistle,104203,895,105098,51.79,46.23
2,50, TIRUPPATTUR ,227352,Nallathambi. A,MALE,49,GENERAL,DMK,Rising sun,56264,571,56835,28.01,25
4,50, TIRUPPATTUR ,227352,Arumugam. V,MALE,47,GENERAL,NTK,Carrying,5360,122,5482,2.7,2.41
5,50, TIRUPPATTUR ,227352,Rajesh. S,MALE,30,GENERAL,tavk,Camera,485,1,486,0.24,0.21
7,50, TIRUPPATTUR ,227352,Thirupathi. N,MALE,53,SC,IND,Bucket,447,0,447,0.22,0.2
8,50, TIRUPPATTUR ,227352,Venkatesan. K,MALE,33,GENERAL,IND,Ring,407,1,408,0.2,0.18
9,50, TIRUPPATTUR ,227352,Sekar. N,MALE,64,SC,AIYDPMP,Diamond,385,2,387,0.19,0.17
10,50, TIRUPPATTUR ,227352,Rajiv Gandhi. S,MALE,41,SC,BSP,Elephant,359,2,361,0.18,0.16
12,50, TIRUPPATTUR ,227352,Vijayakumar. G,MALE,39,GENERAL,AJPK,Gas cylinder,343,2,345,0.17,0.15
13,50, TIRUPPATTUR ,227352,Thirupathi. S,MALE,50,GENERAL,IND,Road roller,331,8,339,0.17,0.15
14,50, TIRUPPATTUR ,227352,Ragujoseph. J,MALE,54,GENERAL,IND,Violin,308,0,308,0.15,0.14
16,50, TIRUPPATTUR ,227352,Gnanasekaran. R,MALE,52,SC,IND,Chain,206,0,206,0.1,0.09
17,50, TIRUPPATTUR ,227352,Nallathambi. R,MALE,49,GENERAL,IND,Matchbox,191,1,192,0.09,0.08
19,50, TIRUPPATTUR ,227352,Dr.poovalagi. P,FEMALE,43,GENERAL,IND,Ship,138,1,139,0.07,0.06
21,50, TIRUPPATTUR ,227352,Balabharathi. S.v,MALE,27,GENERAL,IND,Mike,127,1,128,0.06,0.06
22,50, TIRUPPATTUR ,227352,Gnanasekaran. M,MALE,44,GENERAL,IND,Balloon,126,1,127,0.06,0.06
23,50, TIRUPPATTUR ,227352,Mohan Raj. R,MALE,26,SC,IND,Bat,119,0,119,0.06,0.05
24,50, TIRUPPATTUR ,227352,Anjali. M,FEMALE,37,GENERAL,IND,Almirah,110,5,115,0.06,0.05
25,50, TIRUPPATTUR ,227352,Govind. T.g,MALE,27,GENERAL,IND,Ludo,55,0,55,0.03,0.02
1,51, UTHANGARAI (SC) ,235925,N Elaiyaraja,MALE,47,SC,TVK,Whistle,69448,753,70201,34.16,29.76
2,51, UTHANGARAI (SC) ,235925,T M Tamilselvam,MALE,52,SC,ADMK,Two leaves,64081,922,65003,31.63,27.55
3,51, UTHANGARAI (SC) ,235925,R Kuppusamy,MALE,74,SC,INC,Hand,59877,1116,60993,29.68,25.85
4,51, UTHANGARAI (SC) ,235925,Mekala,FEMALE,31,SC,NTK,Carrying,6486,143,6629,3.23,2.81
6,51, UTHANGARAI (SC) ,235925,K Thavaraj,MALE,41,SC,tavk,Camera,288,3,291,0.14,0.12
8,51, UTHANGARAI (SC) ,235925,Kumaravel,MALE,41,SC,IND,Mike,245,2,247,0.12,0.1
10,51, UTHANGARAI (SC) ,235925,Vijiyal,FEMALE,44,SC,AJPK,Gas cylinder,203,3,206,0.1,0.09
11,51, UTHANGARAI (SC) ,235925,Bakkiyaraj R,MALE,37,SC,IND,Bat,173,3,176,0.09,0.07
12,51, UTHANGARAI (SC) ,235925,A Samraj,MALE,37,SC,IND,Laptop,151,4,155,0.08,0.07
13,51, UTHANGARAI (SC) ,235925,Palani R,MALE,36,SC,TK,Matchbox,135,0,135,0.07,0.06
14,51, UTHANGARAI (SC) ,235925,Rameshwari,FEMALE,45,SC,BHRTJNCKP,Stethoscope,115,0,115,0.06,0.05
1,52, BARGUR ,240476,E.c. Govindarasan,MALE,56,GENERAL,ADMK,Two leaves,70298,942,71240,33.3,29.62
2,52, BARGUR ,240476,E. Muralidharan,MALE,32,GENERAL,TVK,Whistle,66044,955,66999,31.31,27.86
3,52, BARGUR ,240476,D. Mathiazhagan,MALE,59,GENERAL,DMK,Rising sun,63874,1354,65228,30.49,27.12
4,52, BARGUR ,240476,Kavinkumar. S,MALE,31,GENERAL,NTK,Carrying,5321,141,5462,2.55,2.27
5,52, BARGUR ,240476,D. Sivasankaran,MALE,63,SC,BSP,Elephant,695,13,708,0.33,0.29
6,52, BARGUR ,240476,A. Sudhakar,MALE,43,SC,RPPRINAT,Ganna kisan,680,18,698,0.33,0.29
8,52, BARGUR ,240476,S. Albert Francis Xavier,MALE,48,GENERAL,tavk,Camera,591,16,607,0.28,0.25
10,52, BARGUR ,240476,Mathesh. R,MALE,32,GENERAL,IND,Mike,473,4,477,0.22,0.2
11,52, BARGUR ,240476,E.c. Govindaraje,MALE,63,GENERAL,IND,Electric pole,340,5,345,0.16,0.14
12,52, BARGUR ,240476,M. Nedunchezlian,MALE,35,SC,PAMBDMK,Telephone,273,1,274,0.13,0.11
13,52, BARGUR ,240476,S. Sasikumar,MALE,46,SC,IND,Laptop,255,0,255,0.12,0.11
14,52, BARGUR ,240476,D. Govindarajan,MALE,57,GENERAL,IND,Jackfruit,208,2,210,0.1,0.09
15,52, BARGUR ,240476,K. Annadurai,MALE,40,GENERAL,IND,Gas cylinder,156,3,159,0.07,0.07
16,52, BARGUR ,240476,Anitha Mayaperumal,FEMALE,39,GENERAL,IND,Ship,130,13,143,0.07,0.06
1,53, KRISHNAGIRI ,269394,Mukundhan.p,MALE,41,GENERAL,TVK,Whistle,88252,1122,89374,38.83,33.18
2,53, KRISHNAGIRI ,269394,Ashokkumar.k,MALE,73,GENERAL,ADMK,Two leaves,69487,1043,70530,30.64,26.18
3,53, KRISHNAGIRI ,269394,Chellakumar.a,MALE,66,GENERAL,INC,Hand,58552,1045,59597,25.89,22.12
4,53, KRISHNAGIRI ,269394,Suganthi,FEMALE,53,GENERAL,NTK,Carrying,6223,175,6398,2.78,2.37
6,53, KRISHNAGIRI ,269394,Sivakumar.s,MALE,42,SC,BSP,Elephant,594,14,608,0.26,0.23
7,53, KRISHNAGIRI ,269394,Singaravelan Viswanathan,MALE,51,GENERAL,VSHWTMLK,Ring,530,5,535,0.23,0.2
8,53, KRISHNAGIRI ,269394,Muthulakshmi Veerappan,FEMALE,56,GENERAL,tavk,Camera,352,14,366,0.16,0.14
9,53, KRISHNAGIRI ,269394,Mangammal,FEMALE,27,GENERAL,TMK,Well,335,1,336,0.15,0.12
10,53, KRISHNAGIRI ,269394,Sivan.c,MALE,36,GENERAL,IND,Television,281,4,285,0.12,0.11
12,53, KRISHNAGIRI ,269394,Venkateshraja.e,MALE,63,GENERAL,IND,Bucket,168,0,168,0.07,0.06
13,53, KRISHNAGIRI ,269394,Advocate.muthaiah.s.,MALE,51,GENERAL,TK,Matchbox,146,13,159,0.07,0.06
14,53, KRISHNAGIRI ,269394,Kumaresan.m,MALE,51,SC,IND,Bat,151,3,154,0.07,0.06
15,53, KRISHNAGIRI ,269394,Chandramohan.k.m.,MALE,56,GENERAL,IND,Gas cylinder,151,3,154,0.07,0.06
16,53, KRISHNAGIRI ,269394,Nanjundan.m,MALE,37,SC,IND,Electric pole,149,1,150,0.07,0.06
1,54, VEPPANAHALLI ,246739,Srinivasan.p.s,MALE,49,GENERAL,DMK,Rising sun,74147,544,74691,33.55,30.27
2,54, VEPPANAHALLI ,246739,Munusamy.k.p,MALE,75,GENERAL,ADMK,Two leaves,74020,533,74553,33.49,30.22
3,54, VEPPANAHALLI ,246739,Sampangi.s.r,MALE,46,GENERAL,TVK,Whistle,63487,420,63907,28.71,25.9
4,54, VEPPANAHALLI ,246739,Nagaraj.r,MALE,27,GENERAL,NTK,Carrying,4471,48,4519,2.03,1.83
6,54, VEPPANAHALLI ,246739,Iyappan.l,MALE,39,GENERAL,tavk,Camera,867,4,871,0.39,0.35
7,54, VEPPANAHALLI ,246739,Venkatesan.c,MALE,35,GENERAL,IND,Diamond,690,2,692,0.31,0.28
8,54, VEPPANAHALLI ,246739,Ramasamy.g.c,MALE,61,GENERAL,IND,Television,487,0,487,0.22,0.2
9,54, VEPPANAHALLI ,246739,Manoharan.k.a,MALE,48,GENERAL,IND,Sitar,345,0,345,0.15,0.14
10,54, VEPPANAHALLI ,246739,Yuvaraj.k.p.u,MALE,42,GENERAL,IND,Road roller,262,3,265,0.12,0.11
12,54, VEPPANAHALLI ,246739,Govindaraj.g.j,MALE,44,GENERAL,IND,Tiller,183,2,185,0.08,0.07
13,54, VEPPANAHALLI ,246739,Prajapathi Vijay.c,MALE,29,GENERAL,TMK,Well,154,2,156,0.07,0.06
14,54, VEPPANAHALLI ,246739,Eshwaran.c,MALE,47,GENERAL,IND,Gas cylinder,151,1,152,0.07,0.06
1,55, HOSUR ,343040,Balakrishnareddy. P,MALE,57,GENERAL,ADMK,Two leaves,109047,820,109867,39.55,32.03
2,55, HOSUR ,343040,Vendarkarasan.s,MALE,45,GENERAL,TVK,Whistle,81604,460,82064,29.54,23.92
3,55, HOSUR ,343040,Sathya.s.a.,MALE,55,GENERAL,DMK,Rising sun,72966,807,73773,26.56,21.51
4,55, HOSUR ,343040,Stalin.r,MALE,29,GENERAL,NTK,Carrying,7573,59,7632,2.75,2.22
6,55, HOSUR ,343040,Surya. Y,MALE,37,SC,RPPRINAT,Ganna kisan,1154,21,1175,0.42,0.34
9,55, HOSUR ,343040,Ponnumani.r,MALE,31,GENERAL,TMK,Well,238,2,240,0.09,0.07
10,55, HOSUR ,343040,Mariya Francis.s,MALE,36,GENERAL,IND,Television,235,3,238,0.09,0.07
11,55, HOSUR ,343040,Ganesh.m,MALE,41,GENERAL,IND,Gas cylinder,189,1,190,0.07,0.06
12,55, HOSUR ,343040,Pattabirama. C,MALE,51,SC,IND,Camera,174,2,176,0.06,0.05
13,55, HOSUR ,343040,Devappa.y,MALE,62,GENERAL,IND,Jackfruit,134,1,135,0.05,0.04
14,55, HOSUR ,343040,Dr.shanmugam.a.r.,MALE,50,SC,IND,Chappals,102,1,103,0.04,0.03
2,56, THALLI ,237961,Dr.nagesh Kumar. C,MALE,40,GENERAL,BJP,Lotus,72587,456,73043,35.48,30.7
3,56, THALLI ,237961,Suresh. G,MALE,46,GENERAL,TVK,Whistle,44977,268,45245,21.98,19.01
6,56, THALLI ,237961,Ajith. G,MALE,31,GENERAL,tavk,Camera,1007,10,1017,0.49,0.43
7,56, THALLI ,237961,Asanraja. K,MALE,35,SC,IND,Ring,698,3,701,0.34,0.29
8,56, THALLI ,237961,Jagan. M,MALE,39,GENERAL,IND,Computer,621,1,622,0.3,0.26
9,56, THALLI ,237961,Devappa. Y,MALE,62,GENERAL,IND,Jackfruit,506,0,506,0.25,0.21
11,56, THALLI ,237961,Kumar. D.j,MALE,36,GENERAL,IND,Bucket,380,0,380,0.18,0.16
1,57, PALACODU ,240861,Anbalagan. K.p.,MALE,67,GENERAL,ADMK,Two leaves,101533,1274,102807,45.64,42.68
2,57, PALACODU ,240861,Gopi. R.,MALE,49,GENERAL,TVK,Whistle,63211,554,63765,28.31,26.47
3,57, PALACODU ,240861,Dr. Dnv Senthilkumar. S.,MALE,48,GENERAL,DMK,Rising sun,49220,823,50043,22.22,20.78
4,57, PALACODU ,240861,Boopathi. R.,MALE,50,GENERAL,NTK,Carrying,5492,106,5598,2.49,2.32
6,57, PALACODU ,240861,Raman. M.,MALE,48,GENERAL,IND,Electric pole,358,0,358,0.16,0.15
7,57, PALACODU ,240861,Madhappan. P.,MALE,48,GENERAL,IND,Mixee,281,2,283,0.13,0.12
8,57, PALACODU ,240861,Perumal Munusamy. M.,MALE,43,GENERAL,IND,Ship,222,1,223,0.1,0.09
10,57, PALACODU ,240861,Palaniyammal. M.,FEMALE,58,GENERAL,TMK,Well,153,2,155,0.07,0.06
11,57, PALACODU ,240861,Senthilkumar. G.,MALE,52,GENERAL,IND,Diamond,140,5,145,0.06,0.06
12,57, PALACODU ,240861,Jayaraman Perumal. P.,MALE,54,GENERAL,tavk,Camera,115,3,118,0.05,0.05
13,57, PALACODU ,240861,Senthilkumar. K,MALE,48,GENERAL,IND,Flute,109,7,116,0.05,0.05
14,57, PALACODU ,240861,Chinnasamy. N.,MALE,39,GENERAL,IND,Gas cylinder,114,0,114,0.05,0.05
1,58, PENNAGARAM ,248832,Gajendran. S.,MALE,43,GENERAL,TVK,Whistle,80473,767,81240,35.53,32.65
2,58, PENNAGARAM ,248832,Selvam. V.,MALE,61,GENERAL,PMK,Mango,76737,1338,78075,34.14,31.38
3,58, PENNAGARAM ,248832,G. K. M. Tamilkumaran,MALE,48,GENERAL,INC,Hand,52934,967,53901,23.57,21.66
4,58, PENNAGARAM ,248832,Palaniyammal. T.,FEMALE,30,GENERAL,NTK,Carrying,7234,124,7358,3.22,2.96
6,58, PENNAGARAM ,248832,Thavamani. C.,MALE,61,GENERAL,tavk,Camera,620,8,628,0.27,0.25
7,58, PENNAGARAM ,248832,Ajith Kumar. S.,MALE,27,SC,BSP,Elephant,550,7,557,0.24,0.22
8,58, PENNAGARAM ,248832,Kannan. K.,MALE,54,GENERAL,TMK,Well,544,2,546,0.24,0.22
9,58, PENNAGARAM ,248832,Poomani. P.,FEMALE,28,GENERAL,IND,Ship,532,1,533,0.23,0.21
10,58, PENNAGARAM ,248832,Arunkumar. G.,MALE,41,GENERAL,IND,Binoculars,499,2,501,0.22,0.2
11,58, PENNAGARAM ,248832,Sakthivel. M.,MALE,42,GENERAL,IND,Gas cylinder,478,2,480,0.21,0.19
12,58, PENNAGARAM ,248832,Annamalai. M.,MALE,29,SC,IND,Diamond,477,3,480,0.21,0.19
13,58, PENNAGARAM ,248832,Gnanaselvam. S.,MALE,42,GENERAL,IND,Swing,462,1,463,0.2,0.19
15,58, PENNAGARAM ,248832,Tamilarasan. M.,MALE,42,GENERAL,IND,Neck tie,395,5,400,0.17,0.16
16,58, PENNAGARAM ,248832,Elavarsan. A.,MALE,32,GENERAL,IND,Bricks,366,1,367,0.16,0.15
17,58, PENNAGARAM ,248832,Manoharan. K. A.,MALE,48,GENERAL,IND,Sitar,362,2,364,0.16,0.15
18,58, PENNAGARAM ,248832,Vilkrishnan. R.,MALE,66,SC,IND,Scissors,356,0,356,0.16,0.14
19,58, PENNAGARAM ,248832,Veerappan. M.,MALE,65,GENERAL,IND,Refrigerator,347,0,347,0.15,0.14
20,58, PENNAGARAM ,248832,Sendrayan. G.,MALE,63,GENERAL,IND,Box,287,6,293,0.13,0.12
21,58, PENNAGARAM ,248832,Tamilselvi. S.,FEMALE,61,GENERAL,IND,Matchbox,259,4,263,0.12,0.11
22,58, PENNAGARAM ,248832,Manivannan. S.,MALE,48,GENERAL,IND,Road roller,208,1,209,0.09,0.08
23,58, PENNAGARAM ,248832,Selvam. V.,MALE,52,GENERAL,IND,Batsman,202,0,202,0.09,0.08
1,59, DHARMAPURI ,260979,Sowmiya Anbumani,FEMALE,55,GENERAL,PMK,Mango,91469,2244,93713,39.28,35.91
2,59, DHARMAPURI ,260979,Sivan. M.,MALE,51,GENERAL,TVK,Whistle,71487,1330,72817,30.52,27.9
3,59, DHARMAPURI ,260979,Dr. Elangovan. V.,MALE,76,GENERAL,DMDK,Nagara,55457,1448,56905,23.85,21.8
4,59, DHARMAPURI ,260979,Shanthalakshmi. K.,FEMALE,50,GENERAL,NTK,Carrying,6558,200,6758,2.83,2.59
5,59, DHARMAPURI ,260979,Saravanan. A.,MALE,55,GENERAL,AJPK,Gas cylinder,1059,19,1078,0.45,0.41
8,59, DHARMAPURI ,260979,Prasanth. Dbj.,MALE,35,GENERAL,tavk,Camera,813,8,821,0.34,0.31
9,59, DHARMAPURI ,260979,Thirupathi. M.,MALE,32,GENERAL,IND,Ludo,763,0,763,0.32,0.29
10,59, DHARMAPURI ,260979,Manikandan. S.,MALE,45,GENERAL,VSHWTMLK,Ring,705,5,710,0.3,0.27
11,59, DHARMAPURI ,260979,Nagarajan. D.,MALE,82,GENERAL,IND,Well,615,4,619,0.26,0.24
13,59, DHARMAPURI ,260979,Sivagami. G.,FEMALE,46,GENERAL,TMK,Water tank,377,5,382,0.16,0.15
14,59, DHARMAPURI ,260979,Sivan. A.,MALE,34,GENERAL,IND,Sitar,362,10,372,0.16,0.14
15,59, DHARMAPURI ,260979,Kumar. V.,MALE,40,GENERAL,IND,Bricks,348,5,353,0.15,0.14
16,59, DHARMAPURI ,260979,Arumugam. Muni.,MALE,50,GENERAL,IND,Chappals,210,5,215,0.09,0.08
17,59, DHARMAPURI ,260979,Sundaramoorthy. M.,MALE,46,GENERAL,IND,Gas Stove,190,2,192,0.08,0.07
18,59, DHARMAPURI ,260979,Palani. K.,MALE,65,GENERAL,IND,Television,171,7,178,0.07,0.07
19,59, DHARMAPURI ,260979,Sivam. R.,MALE,53,GENERAL,IND,Frying pan,161,5,166,0.07,0.06
20,59, DHARMAPURI ,260979,Prabhakaran. M.,MALE,42,GENERAL,IND,Capsicum,106,2,108,0.05,0.04
1,60, PAPPIREDDIPATTI ,257016,Maragatham Vetrivel,FEMALE,49,GENERAL,ADMK,Two leaves,100096,1733,101829,43.03,39.62
2,60, PAPPIREDDIPATTI ,257016,Palaniappan. P,MALE,64,GENERAL,DMK,Rising sun,66830,1885,68715,29.04,26.74
3,60, PAPPIREDDIPATTI ,257016,Thilagavathi. S,FEMALE,33,GENERAL,TVK,Whistle,56666,953,57619,24.35,22.42
4,60, PAPPIREDDIPATTI ,257016,Archana Tamilaruvi,FEMALE,30,SC,NTK,Carrying,5060,156,5216,2.2,2.03
5,60, PAPPIREDDIPATTI ,257016,Ganesan. S,MALE,45,GENERAL,VSHWTMLK,Ring,761,9,770,0.33,0.3
8,60, PAPPIREDDIPATTI ,257016,Palaniappan. R,MALE,49,GENERAL,IND,Diamond,309,6,315,0.13,0.12
9,60, PAPPIREDDIPATTI ,257016,Moorthi. P,MALE,56,GENERAL,IND,Door bell,301,1,302,0.13,0.12
12,60, PAPPIREDDIPATTI ,257016,Tamilraj. K,MALE,49,GENERAL,IND,Gas cylinder,143,3,146,0.06,0.06
13,60, PAPPIREDDIPATTI ,257016,Poovarasu,MALE,39,GENERAL,TMK,Well,121,0,121,0.05,0.05
14,60, PAPPIREDDIPATTI ,257016,Chinnasamy. P,MALE,37,GENERAL,IND,Bucket,78,0,78,0.03,0.03
15,60, PAPPIREDDIPATTI ,257016,Sathish. S,MALE,37,GENERAL,IND,Batsman,75,1,76,0.03,0.03
1,61, HARUR (SC) ,245971,Sampathkumar. V,MALE,52,SC,ADMK,Two leaves,74063,1460,75523,34.32,30.7
2,61, HARUR (SC) ,245971,Shanmugam. A,MALE,62,SC,DMK,Rising sun,70263,1931,72194,32.81,29.35
3,61, HARUR (SC) ,245971,Rakesh. K,MALE,40,SC,TVK,Whistle,61685,1071,62756,28.52,25.51
4,61, HARUR (SC) ,245971,Anitha. A,FEMALE,45,SC,NTK,Carrying,5055,190,5245,2.38,2.13
6,61, HARUR (SC) ,245971,Nehru. G,MALE,51,SC,BSP,Elephant,690,6,696,0.32,0.28
7,61, HARUR (SC) ,245971,Marikannu. C,MALE,47,SC,RPPRINAT,Ganna kisan,622,30,652,0.3,0.27
9,61, HARUR (SC) ,245971,Parthipan. P,MALE,57,SC,IND,Gas cylinder,444,1,445,0.2,0.18
10,61, HARUR (SC) ,245971,Thangavel. K,MALE,50,SC,IND,Telephone,437,4,441,0.2,0.18
11,61, HARUR (SC) ,245971,Sampath. C,MALE,57,SC,IND,Jackfruit,215,2,217,0.1,0.09
12,61, HARUR (SC) ,245971,Manila. S,FEMALE,42,SC,tavk,Camera,209,4,213,0.1,0.09
14,61, HARUR (SC) ,245971,Kuppuraj. K,MALE,48,SC,TMK,Well,119,1,120,0.05,0.05
15,61, HARUR (SC) ,245971,Sampath. K,MALE,67,SC,IND,Cauliflower,107,3,110,0.05,0.04
1,62, CHENGAM (SC) ,269423,S.velu,MALE,53,SC,ADMK,Two leaves,86953,849,87802,36.15,32.59
2,62, CHENGAM (SC) ,269423,K Bharathidhasan,MALE,46,SC,TVK,Whistle,73985,539,74524,30.68,27.66
