Serial_No,Constituency_ No.,Constituency_Name,Total_Electors,Candidate_Name,Gender,Age,Category,Party,Symbol,General_Votes,Postal_Votes,Total_Votes,Percent_Valid_Votes,Percent_Total_Electors
25,207, ARUPPUKKOTTAI ,208168,Venkatesan. P.s,MALE,59,GENERAL,IND,Calculator,49,0,49,0.03,0.02
26,207, ARUPPUKKOTTAI ,208168,Marivel. K,MALE,35,GENERAL,IND,Bat,48,0,48,0.03,0.02
1,208, TIRUCHULI ,205681,Thangam Thenarasu,MALE,59,GENERAL,DMK,Rising sun,74298,787,75085,41.43,36.51
2,208, TIRUCHULI ,205681,Samayan.s,MALE,35,GENERAL,TVK,Whistle,60912,688,61600,33.99,29.95
3,208, TIRUCHULI ,205681,Rajavarman.m.s.r,MALE,53,GENERAL,ADMK,Two leaves,25205,376,25581,14.11,12.44
4,208, TIRUCHULI ,205681,Avarangadu Karthik Raja,MALE,34,GENERAL,NTK,Carrying,12522,241,12763,7.04,6.21
5,208, TIRUCHULI ,205681,Gunasekaran.g,MALE,53,SC,PT,Gas cylinder,1222,26,1248,0.69,0.61
7,208, TIRUCHULI ,205681,Malai Alagu.m,MALE,43,SC,IND,Telephone,631,0,631,0.35,0.31
8,208, TIRUCHULI ,205681,Advocate Thangapandian,MALE,42,GENERAL,IND,Helmet,518,7,525,0.29,0.26
10,208, TIRUCHULI ,205681,Marimuthu.m,MALE,49,GENERAL,IND,Capsicum,392,0,392,0.22,0.19
11,208, TIRUCHULI ,205681,Kannan.g,MALE,39,GENERAL,ETMK,Jackfruit,281,0,281,0.16,0.14
13,208, TIRUCHULI ,205681,Palaniyandi.m,MALE,52,GENERAL,IND,Door bell,194,1,195,0.11,0.09
14,208, TIRUCHULI ,205681,Nallamaruthu.k,MALE,45,GENERAL,IND,Balloon,164,0,164,0.09,0.08
15,208, TIRUCHULI ,205681,Rajangam.c,MALE,64,GENERAL,IND,Chain,162,0,162,0.09,0.08
16,208, TIRUCHULI ,205681,Kalimuthu.s,MALE,55,GENERAL,IND,Swing,124,0,124,0.07,0.06
17,208, TIRUCHULI ,205681,Rajkumar.d,MALE,51,GENERAL,tavk,Camera,119,0,119,0.07,0.06
18,208, TIRUCHULI ,205681,Gurusamy.t,MALE,54,GENERAL,IND,racket &,108,6,114,0.06,0.06
19,208, TIRUCHULI ,205681,Vellaisamy.p,MALE,63,GENERAL,AHIMSASP,Bricks,108,0,108,0.06,0.05
20,208, TIRUCHULI ,205681,Jeyachitra,FEMALE,35,GENERAL,IND,Lighter,86,2,88,0.05,0.04
21,208, TIRUCHULI ,205681,Chenna Kesavan.p,MALE,45,GENERAL,IND,Refrigerator,82,3,85,0.05,0.04
22,208, TIRUCHULI ,205681,Muniyasamy.r,MALE,49,GENERAL,IND,Coat,77,0,77,0.04,0.04
23,208, TIRUCHULI ,205681,Marnadu.m,MALE,51,GENERAL,IND,Flute,66,0,66,0.04,0.03
24,208, TIRUCHULI ,205681,Aravinthasamy.j,MALE,28,GENERAL,IND,Electric pole,65,0,65,0.04,0.03
1,209, PARAMAKUDI (SC) ,235109,Advocate. Kathiravan. K.k,MALE,40,SC,DMK,Rising sun,58217,944,59161,31.18,25.16
2,209, PARAMAKUDI (SC) ,235109,Gopirajan. G,MALE,48,SC,TVK,Whistle,54856,757,55613,29.31,23.65
3,209, PARAMAKUDI (SC) ,235109,Dr. Muthiah. S,MALE,69,SC,ADMK,Two leaves,53299,800,54099,28.51,23.01
4,209, PARAMAKUDI (SC) ,235109,Ezhil Elavarasi. R,FEMALE,38,SC,NTK,Carrying,15013,350,15363,8.1,6.53
6,209, PARAMAKUDI (SC) ,235109,Rathina Prakash. K,MALE,45,SC,PT,Gas cylinder,936,68,1004,0.53,0.43
8,209, PARAMAKUDI (SC) ,235109,Kathiravan. R,MALE,32,SC,IND,Diamond,377,2,379,0.2,0.16
9,209, PARAMAKUDI (SC) ,235109,Raju. A,MALE,36,SC,IND,Ship,322,2,324,0.17,0.14
10,209, PARAMAKUDI (SC) ,235109,Raja. M,MALE,45,SC,IND,Kettle,265,3,268,0.14,0.11
11,209, PARAMAKUDI (SC) ,235109,Karthik Vani. B,MALE,35,SC,IND,Gramophone,230,0,230,0.12,0.1
